ABADO N045.39.21.000 E005.17.35.000
MAKOX N045.19.58.000 E001.14.17.000
MALAT N045.14.13.800 E004.20.05.000
MANAG N048.06.11.000 E005.09.57.000
MANAK N046.12.48.000 W000.56.31.000
MAPEB N047.49.41.400 E000.00.13.100
MAREN N045.44.00.000 W001.03.42.000
MARKU N049.32.06.000 W001.19.24.000
MARRE N045.26.06.000 E000.17.01.000
MATER N048.26.54.000 W004.47.00.000
MATID N049.36.18.800 E001.45.59.500
MATIX N050.05.54.000 E003.54.51.000
MATOT N047.46.13.700 E000.14.08.000
MAVAC N045.30.59.000 E001.00.07.000
MAVUK N047.47.57.800 E000.07.10.800
MAXUS N045.46.25.000 E005.22.53.000
MEBAK N045.42.28.900 E004.38.55.900
MEBAL N049.24.26.000 E002.24.32.000
MEDAM N045.15.52.000 E006.56.24.000
MEDIL N050.20.31.700 E003.40.29.900
MEDIM N047.23.15.000 E006.31.54.000
MEDOX N049.20.00.600 E005.05.48.700
MELKO N048.16.41.100 E004.40.24.600
MENOX N046.34.18.800 E003.13.12.000
MEZIN N045.01.01.600 E004.11.45.100
MIGRA N045.41.02.800 E001.00.54.500
MILPA N046.18.09.200 E005.52.47.000
MINDI N045.08.13.000 E004.02.32.200
MINPA N045.06.15.700 E003.10.29.300
MIRGU N048.01.09.300 E006.40.43.800
MOBLO N045.48.35.000 E006.43.21.600
MOBRO N049.27.19.600 E001.36.23.200
MOBRU N048.26.16.600 W004.01.29.100
MOKEB N048.43.09.400 W003.18.28.000
MOKIP N046.26.56.000 E005.05.37.000
MOKOR N047.00.25.000 W002.00.50.000
MOKUP N047.05.47.000 W001.26.37.000
MOLBA N048.17.42.100 E003.03.46.600
MOLOV N048.46.04.400 W003.36.21.600
MOLUS N046.26.38.000 E006.40.46.000
MOMIL N046.32.46.000 E004.32.48.000
MONCE N048.42.00.000 E006.26.06.000
MONOT N048.05.00.000 E002.27.26.000
MONTU N046.55.48.000 W001.08.48.000
MOPAR N049.17.30.200 E001.45.26.200
MOPEM N046.17.01.000 E004.23.03.000
MOPIL N050.08.52.000 E004.06.28.000
MOPUK N048.42.51.600 W003.30.34.600
MOREG N046.23.35.200 E006.00.26.000
MOROK N047.23.47.700 E006.39.19.800
MOSUD N048.56.15.800 E002.51.33.600
MOTAG N048.49.17.000 W003.42.09.300
MOTAL N047.34.36.000 E002.13.12.000
MOTUK N047.51.54.000 E005.49.13.000
MOVEX N048.23.04.000 W003.55.44.000
MUBBI N045.50.35.100 E003.45.08.000
MUREL N049.19.17.000 W003.33.02.000
MURRO N045.19.58.500 E004.22.32.000
NAKET N045.18.45.900 E004.12.24.000
NAKIB N049.36.23.500 E001.14.13.400
NAMAR N047.53.05.000 W000.27.31.000
NAMEL N046.21.27.900 E006.17.00.400
NANCY N048.49.03.000 E006.05.02.000
NANOP N048.15.43.000 E004.14.22.000
NAPSU N047.02.16.000 E002.07.37.000
NARIV N045.49.41.600 E004.15.35.600
NATLI N047.29.31.000 E007.30.26.000
NAVAN N050.28.06.200 E003.14.23.000
NAVLA N045.40.02.000 E005.40.01.000
NAZIM N045.44.17.600 E005.52.19.000
NAZIR N047.09.02.600 W001.58.26.500
NEBAX N048.27.25.000 E006.11.40.000
NEBRU N049.59.24.000 E002.15.24.000
NEDAN N047.26.26.000 W001.15.53.000
NEDRU N045.04.33.000 E005.49.09.000
NEGDI N050.01.49.100 E000.56.50.600
NEGPU N045.31.46.400 E005.06.44.100
NEGUR N048.59.31.300 E002.57.41.400
NEKEM N046.30.00.000 E003.24.50.600
NEKEN N050.31.28.600 E002.49.00.000
NELEN N045.07.07.000 E004.36.42.000
NEMED N049.37.03.000 E001.35.18.000
NEPAP N046.56.02.000 E003.40.46.000
NEPAR N049.05.10.000 E003.33.03.000
NERIN N048.38.23.400 E002.57.27.600
NERKI N048.30.47.000 E001.19.37.700
NERTI N045.42.07.600 E000.54.20.000
NEXOT N048.29.42.900 E003.59.16.700
NIDIR N048.24.13.500 E007.11.24.300
NIDUV N049.20.42.000 E002.43.40.000
NIFKU N045.56.42.000 E006.40.24.000
NIGAG N046.15.23.000 W000.16.43.500
NIGLO N045.50.56.700 E003.49.23.600
NILEM N050.17.48.000 E004.07.08.000
NIMER N047.28.21.000 E000.21.25.000
NIMLA N048.28.16.000 E002.35.42.000
NINAL N049.36.18.600 E002.31.50.000
NINIS N046.17.01.000 E004.24.00.000
NINTU N046.08.50.100 E005.33.10.900
NIPLO N046.18.49.700 W000.04.42.300
NIPOR N049.06.58.000 E004.00.34.000
NIRAP N046.28.04.300 W000.10.12.300
NITAR N049.55.11.700 E002.14.11.000
NITEM N047.25.49.000 W001.48.23.000
NITEP N049.24.42.000 E004.13.12.000
NITUB N046.23.27.000 W000.07.27.000
NIVIN N046.42.52.000 E005.51.58.000
NOKVI N048.51.27.600 W003.51.15.900
NOQAS N045.13.11.300 E004.14.22.100
NORBU N048.44.30.100 W004.25.23.100
NORMI N046.53.46.000 W002.05.31.000
NORON N045.29.05.000 E000.40.39.000
NOSDU N049.42.19.800 W001.05.56.100
NOVAN N046.19.20.000 W003.41.57.000
NUBVO N049.04.37.000 E003.12.29.000
NUCIF N047.05.20.000 E004.46.06.000
NUGVA N045.15.48.400 W002.23.46.700
NUMLO N051.05.07.700 E002.08.43.400
NURMO N049.49.34.000 E002.45.19.000
NUSBA N046.06.24.000 E005.42.48.000
NUVNU N047.17.45.600 W000.43.49.100
OBAKI N048.21.57.000 E006.25.50.000
OBAMO N048.27.37.700 E002.29.16.600
OBATO N048.04.01.000 W000.15.00.000
OBIGO N045.13.13.000 E006.24.41.000
OBIMO N048.36.32.600 W003.48.00.400
OBIVA N050.11.01.000 E002.30.24.000
OBJEQ N046.48.14.000 W002.24.01.000
OBOBI N049.21.20.000 E003.04.50.000
OBORN N048.27.43.000 E007.12.06.000
OBUKO N045.42.49.100 E000.24.12.700
OBURO N047.39.06.000 E004.15.53.000
ODEBU N048.16.52.000 E002.37.34.000
ODENI N050.32.32.600 E002.23.11.500
ODIKI N045.56.32.000 E006.20.37.000
ODILO N048.14.30.300 E001.34.17.900
ODIMI N048.41.55.300 W002.41.47.300
ODNUP N046.11.22.900 E006.42.39.900
ODUXA N045.21.48.200 E005.03.08.100
OGLIB N049.59.13.500 E003.01.11.500
OGLOT N047.16.32.000 W001.22.59.000
OGMAP N048.29.03.200 E003.50.18.800
OGULO N048.13.06.000 E002.40.09.000
OKABO N048.32.57.800 E003.29.25.400
OKASI N048.05.00.000 E002.46.40.000
OKBUK N048.48.59.300 E003.52.25.800
OKEKO N047.32.25.000 E003.07.14.000
OKEPI N047.08.43.000 E003.21.54.000
OKIPA N048.36.40.700 E003.33.48.600
OKIPO N047.54.38.000 E005.52.08.400
OKIRA N047.01.19.000 E003.26.26.000
OKPEM N050.38.30.700 E001.34.21.100
OKRIX N047.57.58.000 E003.34.03.000
OKSOK N050.36.28.000 E002.28.04.000
OKVIG N048.54.52.400 E003.54.09.900
OLALU N047.15.21.000 W000.53.34.900
OLBUS N050.36.11.300 E003.22.06.000
OLEBA N047.09.25.000 W001.50.53.000
OLERO N045.58.11.000 W001.09.01.000
OLINO N046.52.56.600 E001.02.55.500
OLIRI N046.38.06.000 E003.24.43.000
OLMAV N050.41.57.000 E001.28.39.100
OLMES N049.37.53.000 E001.00.10.000
OLMOL N050.41.53.300 E002.05.35.500
OLOLO N047.03.06.600 W001.40.36.600
OLONU N049.40.12.500 E000.27.04.300
OLUGI N046.20.00.000 E003.20.07.400
OLZOM N048.09.20.100 E002.15.53.200
OMANI N046.27.26.400 E003.46.04.700
OMARI N047.10.00.000 E000.49.29.000
OMASI N045.54.22.000 E005.58.27.000
OMXEB N046.07.30.100 E006.32.33.400
ONNOF N045.57.13.800 E005.54.50.800
ONZON N045.50.06.400 E004.06.29.600
OPALE N049.53.59.100 E001.53.06.300
OQQAL N048.51.38.700 E002.42.05.600
ORVOS N049.30.24.300 E005.29.55.700
OSBIB N047.38.00.600 E003.27.59.000
OSBUD N050.26.02.800 E002.46.52.800
OSDIT N050.36.00.300 E001.19.47.300
OSGES N047.18.04.200 W002.37.08.100
OSKIN N047.43.08.000 E003.26.05.000
OSLID N050.30.20.000 E003.24.06.800
OSMAS N045.16.46.900 E005.31.06.500
OSPIS N048.24.35.400 E002.53.05.700
OSRIM N045.41.48.000 E005.49.34.000
OSTIP N048.29.22.200 E002.36.39.500
OTGUV N050.56.36.200 E001.44.38.700
OTKIG N047.31.53.300 E000.33.49.300
OTKUR N047.24.10.200 E000.30.44.700
OTLOV N047.50.51.500 W000.41.18.000
OTOFE N048.56.19.500 W002.29.18.300
OTROT N045.06.49.000 E004.26.44.000
OVBEN N048.03.26.500 E003.25.37.000
OVTEC N049.00.37.000 E008.02.38.000
OXCEL N048.43.48.500 E002.23.23.200
OXIDA N047.53.41.000 W003.34.00.000
OXOTO N047.58.32.000 E002.00.58.000
OXUBA N050.47.16.600 E002.44.05.300
PABLA N048.47.19.000 E008.21.07.000
PACIQ N048.55.43.600 E001.51.52.000
PADCA N046.00.58.000 E006.27.26.000
PAWUS N045.53.45.000 E006.36.17.700
PECNO N045.58.02.000 E001.51.54.200
PEKIM N048.16.33.000 E002.49.32.000
PELOK N047.20.40.000 E006.35.24.000
PENAR N045.30.25.000 E005.37.37.000
PENDU N047.20.56.100 E006.01.57.500
PENJO N045.45.44.000 E006.25.41.000
PEPAL N048.33.02.000 W000.15.00.000
PEPAX N047.04.53.000 E000.27.09.000
PEPET N045.05.03.000 W003.52.02.000
PEPON N048.21.00.000 W000.15.00.000
PERAK N046.02.47.000 E006.24.35.000
PERIG N045.07.02.000 E000.58.10.000
PERON N049.54.45.000 E002.50.24.000
PESAN N046.11.57.300 E003.23.13.700
PESUK N049.12.39.000 E000.17.27.000
PETAL N046.22.04.900 E006.18.01.300
PETAX N050.11.11.600 E000.50.52.800
PEVIS N047.57.37.700 W006.58.41.100
PEVIT N047.41.52.100 E007.11.33.400
PEXIR N049.12.10.000 E000.36.48.000
PEXOD N045.19.04.000 W003.01.02.000
PHALO N048.46.40.000 E007.05.43.000
PIBAL N046.40.55.000 E000.42.50.000
PIBAT N046.48.21.400 E004.15.32.900
PIGOP N048.41.09.000 E001.20.20.000
PIGUL N045.34.28.000 E000.46.18.000
PIKAG N049.07.36.000 E003.18.33.000
PIKIV N049.23.34.100 W000.37.32.900
PIKUP N049.03.34.600 W000.12.21.900
PILON N048.00.06.500 E005.41.30.900
PILUL N048.05.00.000 E003.02.53.000
PIMAK N045.23.30.000 E004.00.53.000
PIMIX N050.42.16.900 E002.44.47.400
PIMQO N045.09.33.000 E001.11.35.400
PIMUP N047.32.25.000 E003.23.15.000
PIMZI N048.24.55.000 E006.49.21.000
PINED N045.00.00.000 E005.31.16.000
PINOT N045.59.07.600 E005.55.33.500
PIQFU N046.07.39.500 W001.12.34.500
PIREG N049.52.51.700 E001.54.40.400
PIRUV N045.52.04.000 E005.40.33.000
PITAV N049.11.41.000 E000.56.00.000
PITHI N050.11.26.500 E003.34.22.200
PIVER N048.47.45.400 E002.16.03.100
PIWEB N049.12.34.000 E003.37.21.000
PIWIZ N048.12.53.700 E001.05.56.300
PIXIS N046.56.25.000 E003.45.14.000
PODEM N049.15.41.000 E001.33.11.000
PODUK N049.14.45.800 E003.21.02.200
POGOL N048.23.56.500 E006.41.36.100
POGZI N048.32.42.000 E002.58.15.100
POKET N045.06.51.000 E000.37.05.000
POLLY N047.53.37.000 E002.45.44.000
PONNE N045.26.53.400 E006.04.29.700
POZOF N047.03.45.000 W004.15.55.000
RALIX N046.56.25.000 W001.02.20.000
RANUX N049.08.19.600 E004.21.41.500
RAPOR N049.35.29.000 E005.12.47.000
RASCA N050.08.44.600 E004.52.52.400
RATUF N046.12.50.000 W003.40.39.000
RATUK N050.39.25.200 E001.38.10.600
RAVIG N049.20.28.000 W001.23.08.000
RAVMU N049.15.52.000 E003.35.35.000
RAZQI N046.28.27.000 E001.15.00.000
RAZUD N047.37.57.000 W003.38.59.000
REFEL N047.34.48.000 E007.00.41.000
REGHI N048.00.00.000 W008.00.00.000
REKLA N047.32.07.900 E005.51.02.700
REKMU N046.05.09.400 E004.38.57.700
REMGO N049.46.33.000 E005.01.16.000
RENSA N049.31.59.400 E004.53.07.900
REPSI N045.31.21.000 E004.16.31.000
RESKU N045.32.28.900 E005.01.23.500
RESMI N048.34.07.000 E002.11.31.000
RESPO N047.49.58.100 E005.36.28.800
REVGO N050.44.42.900 E002.39.47.900
REVLI N046.35.11.000 E006.44.36.000
REVTU N049.35.50.000 W001.43.32.000
RIGVI N048.07.57.300 E007.30.13.800
RIKLO N046.48.13.100 W001.35.58.800
RILAV N046.45.04.000 W001.44.18.100
RILIP N045.02.33.000 E006.18.35.000
RILTI N045.45.30.100 E005.39.33.900
RIMON N047.30.26.000 W002.11.09.000
RIMOR N046.01.21.800 E003.28.47.800
RINED N046.38.29.500 W001.42.59.000
RINSO N048.01.38.000 W001.26.09.000
RIPTU N046.06.25.000 E005.19.45.000
RISNO N047.56.11.700 E002.26.55.900
RISOR N045.32.18.000 E005.57.51.000
RISPU N045.51.32.100 W000.19.16.900
RISUD N047.46.15.500 W001.41.48.200
RISUN N046.21.56.000 E002.36.12.000
RITOR N046.11.03.100 W001.32.30.100
RIVAK N046.00.00.000 W008.00.00.000
RIVEK N046.20.12.000 E003.04.48.000
RIXIX N046.28.22.300 W005.05.07.800
ROBAL N050.28.24.000 E003.38.00.000
ROBEX N045.06.54.200 E006.35.38.100
ROBIR N047.31.23.000 E006.02.15.000
ROCCA N045.44.43.000 E006.38.44.100
RODIN N049.59.46.000 E002.16.33.000
RODSA N047.32.08.000 W001.39.46.000
ROGEK N046.39.15.800 W001.02.20.100
ROGEV N050.04.59.400 E003.00.27.400
ROGPU N048.40.31.800 W001.24.04.500
ROKAL N047.57.19.200 W003.21.21.500
ROKIX N046.44.31.500 W001.05.38.700
ROKRO N049.52.54.000 E004.17.28.000
ROLEN N048.34.48.000 E000.09.24.000
ROLIR N045.10.28.000 E004.50.36.600
ROLNU N046.35.19.300 W001.08.22.800
ROMAM N045.06.09.500 E005.09.48.400
ROMGI N046.10.38.000 E003.06.46.000
ROMGO N048.20.47.700 E000.50.38.800
RONAX N048.23.32.000 E000.22.55.000
RONIS N045.46.51.500 E004.42.47.000
RONLA N046.21.08.700 E005.25.19.100
RONOR N050.36.20.800 E002.47.15.700
ROSEX N048.28.15.800 E002.35.39.500
ROSIV N050.01.32.000 E002.45.54.000
ROSPO N047.57.41.500 W003.45.02.900
ROTSI N048.16.36.200 E004.38.03.000
ROUBO N049.29.18.600 E001.18.57.200
ROUSY N049.28.35.000 E006.06.54.000
ROXIL N047.06.31.900 E001.58.01.800
ROYAN N045.40.00.000 W001.02.12.000
RUBGI N045.20.52.000 E002.30.00.000
RUBIX N049.04.09.000 W000.15.00.000
RUBLO N045.35.26.000 E005.21.01.000
RUBUT N050.49.04.700 E002.40.33.500
RUCAC N050.52.59.400 E001.44.30.500
RUMIL N045.51.42.800 E005.58.53.200
RUSIB N048.58.37.000 W003.48.31.000
RUSIT N045.40.05.000 E004.53.26.000
RUSTI N048.10.36.000 E007.39.36.000
SABLE N047.51.11.000 W000.15.00.000
SAKYR N047.39.54.100 W001.24.36.600
SALEV N046.04.25.600 E006.03.57.400
SAMPO N048.13.12.000 W001.16.56.000
SANCE N047.16.00.000 E002.44.30.000
SAULX N048.31.43.600 E005.17.00.600
SAUNI N046.37.25.000 E005.28.40.000
SHARA N047.58.40.000 E006.40.38.000
SINPO N046.19.30.000 E003.17.00.000
SIQLE N047.01.15.700 E003.14.13.400
SIROD N046.43.37.300 E006.01.10.400
SITSA N046.54.50.600 E002.10.37.400
SIZZA N047.32.40.000 E004.06.58.000
SOBLI N047.29.58.000 E006.22.46.000
SOCOF N046.00.00.000 E006.00.00.000
SOFIK N046.16.24.500 E006.37.56.900
SOLNO N045.37.09.600 E001.06.47.500
SOMDA N048.20.16.000 E004.14.40.000
SOMED N047.26.09.000 E000.56.31.000
SOMEN N048.51.00.000 W003.33.00.000
SOMEX N048.12.47.300 E003.20.03.600
SOMIL N049.46.13.000 E002.18.18.000
SOMTI N045.27.00.600 E002.55.58.500
SOMTU N049.35.47.000 E004.21.27.000
SONUR N049.26.13.600 E004.21.26.900
SOPAD N045.39.12.000 E004.12.20.000
SOPEX N048.36.48.000 W003.33.00.000
SOPIG N049.22.25.000 E002.19.53.000
SOPIL N047.01.33.000 E001.03.18.000
SOPLO N045.43.43.700 E005.44.45.000
SOPOL N049.51.47.000 E001.41.07.000
SORAL N049.06.49.600 E006.26.15.600
SORAP N048.31.20.000 E000.38.07.000
SOREM N048.28.16.000 E007.01.08.000
SOSAL N046.33.29.000 E006.53.04.000
SOSIX N048.41.25.000 E004.50.34.000
SOSUN N049.59.05.500 E001.31.03.800
SOTIP N048.07.52.900 E001.27.35.600
SOTUS N049.22.48.000 E004.03.01.000
SOVAD N046.20.14.900 E006.02.54.400
SOVIM N048.07.06.200 W003.48.38.500
SUBAK N047.04.09.300 W001.29.27.200
SUBOX N048.44.59.000 E001.38.07.000
SUDAP N050.26.36.400 E002.50.44.000
SUDAV N048.29.15.600 E002.54.08.800
SUDIL N047.08.03.100 W001.37.31.100
SUDOD N050.59.31.400 E002.15.14.000
SUGOM N046.04.35.000 W002.22.37.000
SUIPE N049.15.12.000 E004.15.54.000
SUKHA N048.34.29.000 E005.06.28.000
SULEX N050.00.00.000 E002.55.32.000
SULOT N045.36.14.000 E003.48.59.000
SUNUL N047.10.37.000 W002.49.41.000
SUQOC N046.26.23.700 W000.23.47.300
SUSON N050.25.32.600 E002.24.40.600
SUTAL N049.28.00.000 E006.23.30.000
SUTUB N048.47.39.500 E001.39.46.400
SUVEL N046.09.05.400 E006.21.03.800
SUXOV N049.55.21.700 E000.49.32.400
TABIL N047.57.23.000 W000.56.24.000
TABOV N048.38.39.000 E001.38.56.000
TACRO N047.29.13.000 W000.57.14.000
TADUP N048.56.19.300 E000.32.27.400
TAHLE N049.52.00.000 E002.41.00.000
TALAR N045.57.23.000 E004.36.15.700
TALUD N049.36.04.000 E005.25.14.000
TANCA N049.31.17.000 E000.29.05.000
TEJOP N048.49.44.600 W004.59.50.600
TELIN N048.14.41.000 W004.11.59.000
TEMTO N047.35.41.700 W000.36.54.200
TEPRA N046.29.45.000 W002.25.28.000
TEPRI N048.33.08.000 E002.45.00.000
TERKU N048.01.48.000 W003.37.00.000
TERPO N047.20.56.000 W001.55.44.000
TILVI N049.36.30.000 E005.35.03.000
TINAM N046.21.36.100 E006.31.50.000
TINIL N047.35.20.000 E005.05.55.000
TIQUH N048.25.00.000 W006.12.56.000
TIRAV N046.35.56.000 W001.23.27.000
TIRSO N047.48.22.200 E006.40.14.800
TITOX N046.33.04.000 E003.43.05.000
TITUB N048.47.33.000 W003.34.43.000
TITVA N045.21.47.600 E003.57.31.600
TOFLO N047.47.39.000 W004.06.34.000
TOKDO N046.01.30.200 E005.42.40.100
TOLNA N045.40.42.700 E005.48.49.300
TOLVU N049.37.31.000 E005.22.18.000
TORPA N047.28.45.900 E006.39.30.900
TOZOT N045.11.09.000 E004.05.56.200
TRACA N050.51.06.000 E001.58.06.000
TUBDI N047.43.46.900 E003.22.51.500
TUDRA N046.32.20.000 E000.46.51.000
TUFTA N046.23.18.200 E005.25.14.100
TUKVI N050.38.58.700 E001.24.13.000
TULNI N050.33.27.000 E003.16.56.000
TUNAX N047.54.45.000 E000.12.06.000
TUNOR N047.53.00.000 E004.08.28.000
TUPAR N046.25.45.000 W000.39.46.000
TUPID N047.42.41.100 E002.03.49.600
TUPOV N047.45.27.000 E007.14.13.000
TURDO N047.26.52.000 W006.58.05.000
TURDU N049.05.28.100 W000.27.53.000
TUROM N046.50.31.000 E005.57.59.100
TUTAX N046.55.17.000 E005.14.49.000
UBEXU N046.24.57.000 E004.58.04.000
UBIMA N046.07.35.000 E006.42.04.000
UFFIX N047.52.16.000 E002.45.21.000
UFONE N048.50.13.000 E006.59.19.000
ULNAB N045.24.49.500 W002.26.26.200
UMOGI N048.04.12.500 E002.18.01.900
UNEKO N046.19.48.000 W003.11.25.000
UNKIR N046.48.56.000 E005.43.37.000
UPALO N048.54.37.000 W001.45.07.000
UPMIT N050.39.06.900 E003.21.05.300
UPSAQ N049.47.00.000 E003.53.30.000
URELO N048.32.19.800 E003.43.55.300
URITI N048.47.22.600 W002.17.04.000
URQAP N047.01.53.000 E005.33.11.000
USAPI N049.42.11.600 E000.19.59.500
USODA N046.58.19.000 W001.21.54.000
UTELA N048.54.21.200 E002.57.37.600
UTISO N046.02.43.800 W001.27.48.600
UTUVA N045.51.47.700 E003.29.27.900
UVELI N045.02.29.100 E000.06.43.000
UVIKO N047.58.45.000 E000.03.41.000
UVRAN N049.36.26.700 W001.07.42.200
UVRIL N049.43.49.700 E000.34.39.600
UVSUV N049.29.17.300 W001.40.28.400
UVUDO N046.30.00.000 W001.50.39.000
UXANA N045.16.35.000 E003.10.45.000
VADAR N046.39.26.000 E006.45.13.000
VADEM N046.43.18.200 E006.29.00.500
VADEP N050.14.29.600 E003.48.17.500
VADOM N048.33.02.000 E001.16.15.000
VAGNA N045.05.43.300 W000.20.14.200
VAKOS N049.34.10.700 E004.00.10.300
VAKPA N048.11.17.000 E006.41.06.000
VAKSI N047.59.57.000 W001.14.05.000
VALAX N047.33.46.000 W001.06.38.000
VALBU N046.05.09.700 E006.29.23.400
VALEK N049.30.52.000 E005.46.52.000
VALKU N045.59.53.400 E002.49.05.000
VALNU N048.04.54.000 E003.16.00.000
VALOR N046.03.34.600 E006.58.25.900
VALPO N048.50.05.100 E003.07.17.800
VAMOP N050.23.25.700 E003.11.37.800
VANAD N047.50.14.000 E000.54.26.000
VANAS N045.27.25.800 E006.44.48.700
VANEG N047.40.03.400 W002.26.05.000
VANEX N048.33.14.100 E002.58.40.800
VASOL N048.32.42.500 E001.52.54.800
VATRI N048.47.36.000 E004.03.30.000
VAXED N048.52.49.400 E004.07.04.400
VEBEK N049.16.07.000 E003.40.59.000
VEDUS N049.35.41.000 E004.46.53.000
VEKIN N050.24.15.000 E003.16.30.000
VELIR N045.24.15.400 E003.10.56.600
VELOK N050.11.18.000 E002.49.09.000
VELOL N049.56.19.000 E001.17.12.000
VELUD N047.08.18.600 W001.18.25.000
VEMIL N049.13.29.500 E002.23.10.300
VENAR N046.08.37.000 W000.43.14.000
VENAT N046.14.39.000 E006.35.48.000
VENOR N049.43.00.000 E002.38.54.000
VEPET N049.42.37.000 E001.30.04.000
VERAC N046.17.25.000 E000.06.17.000
VERMA N050.00.00.000 E003.14.36.000
VEROB N045.17.43.700 E007.23.22.400
VEROS N047.20.24.000 E002.12.06.000
VEROT N045.12.59.500 E004.10.37.700
VEROX N046.43.38.800 E006.34.23.600
VESAN N050.22.18.800 E002.01.35.100
VEULE N049.51.24.000 E000.37.12.000
VEXAV N049.12.32.000 E001.56.11.200
VEXIP N049.02.31.100 E001.57.31.000
VEZAQ N048.41.03.000 E002.54.09.500
VIBUG N045.57.26.900 E003.21.37.600
VIFGO N045.02.36.200 E005.40.53.300
WEBCA N046.03.50.300 E006.49.42.900
WERZU N048.31.29.000 E003.32.00.000
WIQMO N047.16.37.200 W001.37.42.000
XANOR N049.28.16.400 E000.37.09.900
XAPEL N046.38.24.000 E003.58.00.000
XASOT N047.01.33.100 W004.34.01.800
XASUD N049.08.54.800 E000.09.15.300
XERAM N049.35.48.000 E004.04.02.000
XERGI N046.16.19.200 W000.53.48.000
XIDAN N047.02.43.000 W006.13.06.000
XORBI N049.55.04.000 E002.27.04.000
XOVPA N049.09.18.000 W000.15.00.000
XUPAL N045.02.26.000 E002.37.22.000
YAQEL N045.03.17.300 E003.48.15.000
YODHA N049.43.30.000 E003.51.50.000
YURZI N046.10.26.300 W002.28.34.000
ZERFI N048.44.18.000 E006.51.46.000
ZOBBE N045.52.13.000 E003.37.41.000
